address,city,state,latitude,longitude
2265 W Great Neck Rd,Virginia Beach,VA,36.910456,-76.071517
2217 Upton Dr,Virginia Beach,VA,36.756198,-76.010379
1001 Laskin Rd,Virginia Beach,VA,36.856691,-75.990782
869 Lynnhaven Pkwy,Virginia Beach,VA,36.812396,-76.071578
U.S. Route 460,Wakefield,VA,38.788435,-77.233009
305 Madison Ave N,Bainbridge Island,WA,47.626879,-122.521201
1011 Hewitt Ave. W.,Everett,WA,47.979598,-122.216454
1307 N 46th St,Seattle,WA,47.661952,-122.341671
323 NW 85th St,Seattle,WA,47.690609,-122.361007
1447 N.W. Ballard Way,Seattle,WA,47.662754,-122.375752
5000 University Way NE,Seattle,WA,47.665008,-122.312771
5606 1st Ave S,Seattle,WA,47.552481,-122.333903
658 NE Northlake Way,Seattle,WA,47.654798,-122.321494
4235 S Cheney Spokane Rd,Spokane,WA,47.614996,-117.430181
1931 W Pacific Ave,Spokane,WA,47.655279,-117.441405
401 W Main Ave,Spokane,WA,47.658786,-117.418364
901 W 14th Ave,Spokane,WA,47.642667,-117.42446
4318 S Regal St,Spokane,WA,47.614437,-117.369356
1716 6th Ave,Tacoma,WA,47.255883,-122.462332
508 58th St,Kenosha,WI,42.583361,-87.817521
1205 E Brady St,Milwaukee,WI,43.052821,-87.896665
1947 N Farwell Ave,Milwaukee,WI,43.056132,-87.889599
413 Tower Ave,Superior,WI,46.733305,-92.104131
529 14th St. W.,Huntington,WV,38.411376,-82.479398
6591 Ohio River Rd.,Lesage,WV,38.486747,-82.301173
